cell_types
OnP
OffP
LOnM
MOnM
OnM
BlueOffM
LOffM
MOffM
OffM
OnS
OffS
SBC
BT
OnMystery
OffMystery
OffBoring
OnWiggles
OnLarge
OffLarge
Xmas
RB
Tufted
BlueMystery
A1
OnAmacrine 
OffAmacrine
BlueAmacrine
Amacrine
InterestingIfTrue
BigMas
Spotty
Shadow
Blobby
BluePeaky
on/brisk sustained
on/brisk transient
brisk sustained
brisk transient
transient
